epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85008,1.48352,3.39516,1.63957,0.00333,1,0.16397,0.03589,1.83608,3.27625,1.99672,3e-05,3e-05,0.09403
2,2.45531,1.32933,3.09999,1.42314,0.00333,1,0.11664,0.0509,1.96675,3.18706,1.96418,6.46782e-05,6.46782e-05,0.0870647
3,3.04146,1.45542,3.23869,1.62141,0.00333,1,0.14283,0.06274,2.02882,3.1453,1.92653,9.901e-05,9.901e-05,0.080099
4,3.68644,1.34546,2.89309,1.48584,0.00333,1,0.43573,0.09506,1.86102,3.16139,1.71274,0.000132995,0.000132995,0.073133
5,4.27194,1.38232,2.76751,1.44198,0.00333,1,0.43573,0.09506,1.86102,3.16139,1.71274,0.000166634,0.000166634,0.0661666
6,4.88327,1.40186,2.50448,1.5726,0.00333,1,0.47117,0.11343,1.77283,3.07393,1.56019,0.000199926,0.000199926,0.0591999
7,5.46181,1.09091,2.3587,1.30638,0.00333,1,0.47117,0.11343,1.77283,3.07393,1.56019,0.000232872,0.000232872,0.0522329
8,6.04034,1.17558,2.56517,1.41534,0.00333,1,0.36598,0.16789,1.6198,2.79402,1.36283,0.000265471,0.000265471,0.0452655
9,6.62108,1.33932,2.30128,1.44997,0.00333,1,0.36598,0.16789,1.6198,2.79402,1.36283,0.000297724,0.000297724,0.0382977
10,7.18337,1.24734,2.35483,1.34234,0.00333,1,0.36598,0.16789,1.6198,2.79402,1.36283,0.00032963,0.00032963,0.0313296
11,7.7224,1.48669,2.2199,1.4774,0.00333,1,0.36598,0.16789,1.6198,2.79402,1.36283,0.00036119,0.00036119,0.0243612
12,8.27472,1.16574,2.0099,1.34488,0.2527,0.5,0.37629,0.19882,1.5721,2.03163,1.50045,0.000392403,0.000392403,0.0173924
13,8.82574,1.08971,1.97693,1.23118,0.2527,0.5,0.37629,0.19882,1.5721,2.03163,1.50045,0.00042327,0.00042327,0.0104233
14,9.45866,1.1659,1.97811,1.32173,0.2527,0.5,0.37629,0.19882,1.5721,2.03163,1.50045,0.00045379,0.00045379,0.00345379
15,10.0031,1.09502,2.06776,1.26658,0.2527,0.5,0.37629,0.19882,1.5721,2.03163,1.50045,0.00046535,0.00046535,0.00046535
16,10.5661,1.20103,2.05272,1.29132,0.62123,0.5,0.67682,0.49759,1.36191,2.11634,1.55133,0.000462875,0.000462875,0.000462875
17,11.1439,1.02821,1.7039,1.09404,0.62123,0.5,0.67682,0.49759,1.36191,2.11634,1.55133,0.0004604,0.0004604,0.0004604
18,11.728,1.23078,2.34213,1.40371,0.62123,0.5,0.67682,0.49759,1.36191,2.11634,1.55133,0.000457925,0.000457925,0.000457925
19,12.2804,1.18733,2.18822,1.31253,0.62123,0.5,0.67682,0.49759,1.36191,2.11634,1.55133,0.00045545,0.00045545,0.00045545
20,12.8291,1.00926,1.79718,1.3069,0.62123,0.5,0.67682,0.49759,1.36191,2.11634,1.55133,0.000452975,0.000452975,0.000452975
21,13.3794,1.06684,1.70184,1.22312,0.33415,0.75,0.57208,0.42399,1.16091,2.84617,1.35269,0.0004505,0.0004505,0.0004505
22,14.0001,0.9096,1.69157,1.11727,0.33415,0.75,0.57208,0.42399,1.16091,2.84617,1.35269,0.000448025,0.000448025,0.000448025
23,14.5359,1.09148,1.72435,1.20185,0.33415,0.75,0.57208,0.42399,1.16091,2.84617,1.35269,0.00044555,0.00044555,0.00044555
24,15.0632,1.08133,1.45303,1.15757,0.33415,0.75,0.57208,0.42399,1.16091,2.84617,1.35269,0.000443075,0.000443075,0.000443075
25,15.5972,1.13253,1.47926,1.24905,0.45884,0.75,0.57192,0.42655,1.18395,2.31511,1.42535,0.0004406,0.0004406,0.0004406
26,16.1279,1.06351,1.57808,1.14486,0.45884,0.75,0.57192,0.42655,1.18395,2.31511,1.42535,0.000438125,0.000438125,0.000438125
27,16.6513,0.96281,1.51344,1.11742,0.45884,0.75,0.57192,0.42655,1.18395,2.31511,1.42535,0.00043565,0.00043565,0.00043565
28,17.1897,0.99046,1.89509,1.17798,0.45884,0.75,0.57192,0.42655,1.18395,2.31511,1.42535,0.000433175,0.000433175,0.000433175
29,17.7206,0.80525,1.50381,1.06397,0.45884,0.75,0.57192,0.42655,1.18395,2.31511,1.42535,0.0004307,0.0004307,0.0004307
30,18.2559,0.82759,1.45258,1.00672,0.57304,1,0.745,0.49982,1.15765,2.13156,1.44499,0.000428225,0.000428225,0.000428225
31,18.793,0.94169,1.37743,1.10231,0.57304,1,0.745,0.49982,1.15765,2.13156,1.44499,0.00042575,0.00042575,0.00042575
32,19.3921,0.92438,1.39637,1.06743,0.57304,1,0.745,0.49982,1.15765,2.13156,1.44499,0.000423275,0.000423275,0.000423275
33,19.9411,0.79706,1.58641,1.08396,0.57304,1,0.745,0.49982,1.15765,2.13156,1.44499,0.0004208,0.0004208,0.0004208
34,20.5094,0.94948,1.49038,1.21723,0.57304,1,0.745,0.49982,1.15765,2.13156,1.44499,0.000418325,0.000418325,0.000418325
35,21.0667,1.02125,1.45599,1.16767,0.62045,0.5,0.62758,0.43214,1.14237,2.21036,1.51153,0.00041585,0.00041585,0.00041585
36,21.5964,1.00644,1.63078,1.20361,0.62045,0.5,0.62758,0.43214,1.14237,2.21036,1.51153,0.000413375,0.000413375,0.000413375
37,22.1348,0.86094,1.54519,1.0607,0.62045,0.5,0.62758,0.43214,1.14237,2.21036,1.51153,0.0004109,0.0004109,0.0004109
38,22.6621,0.80996,1.70868,1.11658,0.62045,0.5,0.62758,0.43214,1.14237,2.21036,1.51153,0.000408425,0.000408425,0.000408425
